tile_id,xmin,ymin,xmax,ymax,native_px240,native_frac
t7_518,69930,5174820,79920,5184810,429,0.14271457085828343
t7_519,69930,5184810,79920,5194800,1501,0.49933466400532267
t7_520,69930,5194800,79920,5204790,2418,0.8043912175648703
t7_521,69930,5204790,79920,5214780,2415,0.8033932135728543
t7_522,69930,5214780,79920,5224770,1984,0.6600133067198936
t7_523,69930,5224770,79920,5234760,1375,0.457418496340652
t7_524,69930,5234760,79920,5244750,499,0.16600133067198936
t7_525,69930,5244750,79920,5254740,373,0.1240851630073187
t7_526,69930,5254740,79920,5264730,156,0.05189620758483034
t7_527,69930,5264730,79920,5274720,136,0.04524284763805722
t7_528,69930,5274720,79920,5284710,1132,0.37658017298735863
t7_529,69930,5284710,79920,5294700,1434,0.47704590818363274
t7_530,69930,5294700,79920,5304690,933,0.31037924151696605
t7_531,69930,5304690,79920,5314680,1239,0.4121756487025948
t7_532,69930,5314680,79920,5324670,223,0.0741849634065203
t7_536,69930,5354640,79920,5364630,10,0.00332667997338656
t8_418,79920,4175820,89910,4185810,4,0.0013306719893546241
t8_420,79920,4195800,89910,4205790,2,0.0006653359946773121
t8_421,79920,4205790,89910,4215780,303,0.10079840319361277
t8_422,79920,4215780,89910,4225770,833,0.27711244178310046
t8_423,79920,4225770,89910,4235760,1058,0.35196274118429804
t8_424,79920,4235760,89910,4245750,1804,0.6001330671989354
t8_425,79920,4245750,89910,4255740,1192,0.39654025282767796
t8_426,79920,4255740,89910,4265730,18,0.005988023952095809
t8_427,79920,4265730,89910,4275720,356,0.11842980705256155
t8_428,79920,4275720,89910,4285710,1439,0.478709248170326
t8_429,79920,4285710,89910,4295700,1427,0.47471723220226214
t8_430,79920,4295700,89910,4305690,1604,0.5335994677312043
t8_431,79920,4305690,89910,4315680,1089,0.36227544910179643
t8_432,79920,4315680,89910,4325670,1232,0.4098469727212242
t8_433,79920,4325670,89910,4335660,1472,0.48968729208250167
t8_434,79920,4335660,89910,4345650,1436,0.47771124417831007
t8_435,79920,4345650,89910,4355640,1410,0.469061876247505
t8_436,79920,4355640,89910,4365630,1757,0.5844976713240186
t8_437,79920,4365630,89910,4375620,994,0.3306719893546241
t8_438,79920,4375620,89910,4385610,204,0.06786427145708583
t8_439,79920,4385610,89910,4395600,39,0.012974051896207584
t8_440,79920,4395600,89910,4405590,127,0.042248835662009314
t8_441,79920,4405590,89910,4415580,363,0.12075848303393213
t8_442,79920,4415580,89910,4425570,1172,0.38988689288090483
t8_443,79920,4425570,89910,4435560,1203,0.4001996007984032
t8_444,79920,4435560,89910,4445550,1293,0.4301397205588822
t8_445,79920,4445550,89910,4455540,1779,0.591816367265469
t8_446,79920,4455540,89910,4465530,1963,0.6530272787757818
t8_447,79920,4465530,89910,4475520,1302,0.43313373253493015
t8_448,79920,4475520,89910,4485510,1728,0.5748502994011976
t8_449,79920,4485510,89910,4495500,1805,0.6004657351962741
t8_450,79920,4495500,89910,4505490,1392,0.4630738522954092
t8_451,79920,4505490,89910,4515480,1664,0.5535595475715236
t8_452,79920,4515480,89910,4525470,1635,0.5439121756487026
t8_453,79920,4525470,89910,4535460,1524,0.5069860279441117
t8_454,79920,4535460,89910,4545450,1371,0.4560878243512974
t8_455,79920,4545450,89910,4555440,1686,0.5608782435129741
t8_456,79920,4555440,89910,4565430,1815,0.6037924151696606
t8_457,79920,4565430,89910,4575420,2052,0.6826347305389222
t8_458,79920,4575420,89910,4585410,2288,0.761144377910845
t8_459,79920,4585410,89910,4595400,1822,0.6061210911510313
t8_460,79920,4595400,89910,4605390,2138,0.7112441783100466
t8_461,79920,4605390,89910,4615380,2266,0.7538256819693946
t8_462,79920,4615380,89910,4625370,1639,0.5452428476380572
t8_463,79920,4625370,89910,4635360,1917,0.6377245508982036
t8_464,79920,4635360,89910,4645350,1081,0.35961410512308717
t8_465,79920,4645350,89910,4655340,694,0.23087159015302727
t8_466,79920,4655340,89910,4665330,1030,0.3426480372588157
t8_467,79920,4665330,89910,4675320,1369,0.4554224883566201
t8_468,79920,4675320,89910,4685310,1109,0.3689288090485695
t8_469,79920,4685310,89910,4695300,960,0.3193612774451098
t8_470,79920,4695300,89910,4705290,2291,0.762142381902861
t8_471,79920,4705290,89910,4715280,2107,0.7009314703925482
t8_472,79920,4715280,89910,4725270,1282,0.426480372588157
t8_473,79920,4725270,89910,4735260,439,0.14604125083167
t8_474,79920,4735260,89910,4745250,293,0.09747172322022621
t8_476,79920,4755240,89910,4765230,144,0.04790419161676647
t8_477,79920,4765230,89910,4775220,643,0.2139055222887558
t8_479,79920,4785210,89910,4795200,593,0.19727212242182302
t8_480,79920,4795200,89910,4805190,692,0.23020625415834997
t8_481,79920,4805190,89910,4815180,1986,0.6606786427145709
t8_482,79920,4815180,89910,4825170,2054,0.6833000665335994
t8_483,79920,4825170,89910,4835160,1896,0.6307385229540918
t8_484,79920,4835160,89910,4845150,1353,0.4500998003992016
t8_485,79920,4845150,89910,4855140,1637,0.5445775116433799
t8_486,79920,4855140,89910,4865130,2166,0.720558882235529
t8_487,79920,4865130,89910,4875120,2192,0.729208250166334
t8_488,79920,4875120,89910,4885110,2456,0.8170326014637392
t8_489,79920,4885110,89910,4895100,2149,0.7149035262807718
t8_490,79920,4895100,89910,4905090,2062,0.6859614105123087
t8_491,79920,4905090,89910,4915080,2092,0.6959414504324684
t8_492,79920,4915080,89910,4925070,1865,0.6204258150365934
t8_493,79920,4925070,89910,4935060,2358,0.7844311377245509
t8_494,79920,4935060,89910,4945050,2396,0.7970725216234198
t8_495,79920,4945050,89910,4955040,1434,0.47704590818363274
t8_496,79920,4955040,89910,4965030,1858,0.6180971390552229
t8_497,79920,4965030,89910,4975020,1876,0.6240851630073186
