species,nombre_normalizado,habito_raw,forma,estatus,es_sinonimo,aceptado,forma_inconsistente
Potamogeton filifolius,potamogeton filifolius,Hierba acuática,herbacea,nativa,True,Ruppia filifolia,False
Ruppia obtusa,ruppia obtusa,Hierba acuática,herbacea,nativa,True,Ruppia filifolia,False
Ruppia andina,ruppia andina,Hierba acuática,herbacea,nativa,True,Ruppia filifolia,False
Ruppia rostellata,ruppia rostellata,Hierba acuática,herbacea,nativa,True,Ruppia maritima,False
Conanthera passeriflora,conanthera passeriflora,Hierba,herbacea,endemica,True,Conanthera bifolia,False
Sisyrinchium illmu,sisyrinchium illmu,Hierba,herbacea,endemica,True,Conanthera bifolia,False
Cummingia campanulata,cummingia campanulata,Hierba,herbacea,endemica,True,Conanthera campanulata,False
Conanthera simsii,conanthera simsii,Hierba,herbacea,endemica,True,Conanthera campanulata,False
Cummingia tenella,cummingia tenella,Hierba,herbacea,endemica,True,Conanthera campanulata,False
Conanthera variegata,conanthera variegata,Hierba,herbacea,endemica,True,Conanthera campanulata,False
Conanthera tenella,conanthera tenella,Hierba,herbacea,endemica,True,Conanthera campanulata,False
Conanthera alba,conanthera alba,Hierba,herbacea,endemica,True,Conanthera campanulata,False
Conanthera sabulosa,conanthera sabulosa,Hierba,herbacea,endemica,True,Conanthera campanulata,False
Zephyra amoena,zephyra amoena,Hierba,herbacea,endemica,True,Zephyra elegans,False
Dicolus caerulescens,dicolus caerulescens,Hierba,herbacea,endemica,True,Zephyra elegans,False
Conanthera johowii,conanthera johowii,Hierba,herbacea,endemica,True,Conanthera parvula,False
Conanthera minima,conanthera minima,Hierba,herbacea,endemica,True,Conanthera parvula,False
Cummingia parvula,cummingia parvula,Hierba,herbacea,endemica,True,Conanthera parvula,False
Zephyra cyanocrocus,zephyra cyanocrocus,Hierba,herbacea,endemica,True,Tecophilaea cyanocrocus,False
Heterozostera chilensis,heterozostera chilensis,Hierba,herbacea,endemica,True,Zostera chilensis,False
Zephyra violiflora,zephyra violiflora,Hierba,herbacea,endemica,True,Tecophilaea violiflora,False
Gerardia dulcis,gerardia dulcis,Hierba,herbacea,nativa,True,Stenandrium dulce,False
Ruellia dulcis,ruellia dulcis,Hierba,herbacea,nativa,True,Stenandrium dulce,False
Nierembergia prunellifolia,nierembergia prunellifolia,Hierba,herbacea,nativa,True,Stenandrium dulce,False
Mesembryanthemum chilense,mesembryanthemum chilense,Hierba,herbacea,nativa,True,Carpobrotus chilensis,False
Carpobrotus aequilaterus,carpobrotus aequilaterus,Hierba,herbacea,nativa,True,Carpobrotus chilensis,False
Tetragonia pusilla,tetragonia pusilla,Hierba,herbacea,endemica,True,Tetragonia macrocarpa,False
Tetragonia tenella,tetragonia tenella,Hierba,herbacea,nativa,True,Tetragonia microcarpa,False
Tetragonia trigona,tetragonia trigona,Hierba,herbacea,nativa,True,Tetragonia microcarpa,False
Tetragonia kuntzei,tetragonia kuntzei,Hierba,herbacea,nativa,True,Tetragonia microcarpa,False
Tetragonia robusta,tetragonia robusta,Hierba,herbacea,endemica,True,Tetragonia ovata,False
Achyranthes halimifolia,achyranthes halimifolia,Hierba,herbacea,nativa,True,Alternanthera halimifolia,False
Alternanthera junciflora,alternanthera junciflora,Hierba,herbacea,nativa,True,Alternanthera porrigens,False
Achyranthes porringens,achyranthes porringens,Hierba,herbacea,nativa,True,Alternanthera porrigens,False
Xeraea umbellata,xeraea umbellata,Hierba,herbacea,nativa,True,Gomphrena umbellata,False
Lithraea montana,lithraea montana,Arbusto,lenosa,endemica,True,Schinus montanus,False
Lithraea caustica,lithraea caustica,Árbol,lenosa,endemica,True,Lithrea caustica,False
Laurus caustica,laurus caustica,Árbol,lenosa,endemica,True,Lithrea caustica,False
Persea caustica,persea caustica,Árbol,lenosa,endemica,True,Lithrea caustica,False
Lithrea venenosa,lithrea venenosa,Árbol,lenosa,endemica,True,Lithrea caustica,False
Rhus caustica,rhus caustica,Árbol,lenosa,endemica,True,Lithrea caustica,False
Schinus molle,schinus molle,Árbol,lenosa,nativa,True,Schinus areira,False
Schinus huingan,schinus huingan,Árbol,lenosa,nativa,True,Schinus areira,False
Schinus bituminoides,schinus bituminoides,Árbol,lenosa,nativa,True,Schinus areira,False
Litrea molle,litrea molle,Árbol,lenosa,endemica,True,Schinus latifolius,False
Duvaua latifolia,duvaua latifolia,Árbol,lenosa,endemica,True,Schinus latifolius,False
Schinus chilensis,schinus chilensis,Árbol,lenosa,endemica,True,Schinus latifolius,False
Duvaua dependens,duvaua dependens,Árbol,lenosa,endemica,True,Schinus latifolius,False
Duvaua velutina,duvaua velutina,Árbol,lenosa,endemica,True,Schinus latifolius,False
Schinus velutinus,schinus velutinus,Árbol,lenosa,endemica,True,Schinus latifolius,False
Litrea patagonica,litrea patagonica,Arbusto o árbol pequeño,lenosa,nativa,True,Schinus patagonicus,False
Schinus crenatus,schinus crenatus,Arbusto o árbol pequeño,lenosa,nativa,True,Schinus patagonicus,False
Duvaua patagonica,duvaua patagonica,Arbusto o árbol pequeño,lenosa,nativa,True,Schinus patagonicus,False
Schinus montana,schinus montana,Arbusto o árbol pequeño,lenosa,nativa,True,Schinus patagonicus,False
Ligusticum pansil,ligusticum pansil,Hierba,herbacea,nativa,True,Apium panul,False
Ligusticum nemorosum,ligusticum nemorosum,Hierba,herbacea,nativa,True,Apium panul,False
Ligusticum landbeckii,ligusticum landbeckii,Hierba,herbacea,nativa,True,Apium panul,False
Ligusticum apioides,ligusticum apioides,Hierba,herbacea,nativa,True,Apium panul,False
Carum panul,carum panul,Hierba,herbacea,nativa,True,Apium panul,False
Apium andinum,apium andinum,Hierba,herbacea,nativa,True,Apium panul,False
Apium apioides,apium apioides,Hierba,herbacea,nativa,True,Apium panul,False
Apium philippii,apium philippii,Hierba,herbacea,nativa,True,Apium panul,False
Apium angustilobum,apium angustilobum,Hierba,herbacea,nativa,True,Apium panul,False
Apium peucedanoides,apium peucedanoides,Hierba,herbacea,nativa,True,Apium panul,False
Pimpinella araucana,pimpinella araucana,Hierba,herbacea,nativa,True,Apium panul,False
Ligusticum peucedanoides,ligusticum peucedanoides,Hierba,herbacea,nativa,True,Apium panul,False
Pimpinella andina,pimpinella andina,Hierba,herbacea,nativa,True,Apium panul,False
Ligusticum angustilobum,ligusticum angustilobum,Hierba,herbacea,nativa,True,Apium panul,False
Ligusticum cahuilense,ligusticum cahuilense,Hierba,herbacea,nativa,True,Apium panul,False
Pimpinella macrophylla,pimpinella macrophylla,Hierba,herbacea,nativa,True,Apium panul,False
Pimpinella molleri,pimpinella molleri,Hierba,herbacea,nativa,True,Apium panul,False
Pimpinella navarri,pimpinella navarri,Hierba,herbacea,nativa,True,Apium panul,False
Pimpinella peteroana,pimpinella peteroana,Hierba,herbacea,nativa,True,Apium panul,False
Pimpinella vidali,pimpinella vidali,Hierba,herbacea,nativa,True,Apium panul,False
Ligusticum pimpinellifolium,ligusticum pimpinellifolium,Hierba,herbacea,endemica,True,Apium pimpinellifolium,False
