"species","genus","family","status"
"Tweedia birostrata","Tweedia","Apocynaceae","prune"
"Viola pusilla","Viola","Violaceae","bind"
"Zephyranthes advena","Zephyranthes","Amaryllidaceae","bind"
"Podocarpus nubigenus","Podocarpus","Podocarpaceae","prune"
"Nothofagus pumilio","Nothofagus","Nothofagaceae","prune"
"Fitzroya cupressoides","Fitzroya","Cupressaceae","prune"
"Nothofagus nitida","Nothofagus","Nothofagaceae","prune"
"Metrosideros stipularis","Metrosideros","Myrtaceae","bind"
"Myrceugenia chrysocarpa","Myrceugenia","Myrtaceae","prune"
"Crinodendron hookerianum","Crinodendron","Elaeocarpaceae","prune"
"Myrceugenia parvifolia","Myrceugenia","Myrtaceae","prune"
"Nothofagus antarctica","Nothofagus","Nothofagaceae","prune"
"Nothofagus betuloides","Nothofagus","Nothofagaceae","prune"
"Pilgerodendron uviferum","Pilgerodendron","Cupressaceae","prune"
"Araucaria araucana","Araucaria","Araucariaceae","prune"
"Ovidia andina","Ovidia","Thymelaeaceae","bind"
"Hydrangea serrata","Hydrangea","Hydrangeaceae","prune"
"Griselinia scandens","Griselinia","Griseliniaceae","prune"
"Adenocaulon chilense","Adenocaulon","Asteraceae","prune"
"Dioscorea andina","Dioscorea","Dioscoreaceae","bind"
"Festuca monticola","Festuca","Poaceae","bind"
"Gaultheria poeppigii","Gaultheria","Ericaceae","prune"
"Haplopappus macrocephalus","Haplopappus","Asteraceae","prune"
"Hieracium glaucifolium","Hieracium","Asteraceae","prune"
"Mutisia decurrens","Mutisia","Asteraceae","prune"
"Poa pratensis","Poa","Poaceae","bind"
"Alchemilla neglecta","Alchemilla","Rosaceae","bind"
"Azorella diversifolia","Azorella","Apiaceae","prune"
"Baccharis magellanica","Baccharis","Asteraceae","bind"
"Berberis trigona","Berberis","Berberidaceae","prune"
"Calceolaria filicaulis","Calceolaria","Calceolariaceae","prune"
"Drimys andina","Drimys","Winteraceae","prune"
"Elymus angulatus","Elymus","Poaceae","bind"
"Festuca acanthophylla","Festuca","Poaceae","bind"
"Fragaria chiloensis","Fragaria","Rosaceae","prune"
"Ranunculus peduncularis","Ranunculus","Ranunculaceae","prune"
"Ribes cucullatum","Ribes","Grossulariaceae","prune"
"Stellaria arvalis","Stellaria","Caryophyllaceae","bind"
"Viola reichei","Viola","Violaceae","bind"
"Alstroemeria aurea","Alstroemeria","Alstroemeriaceae","prune"
"Herreria stellata","Herreria","Asparagaceae","bind"
"Holcus lanatus","Holcus","Poaceae","prune"
"Carex multifaria","Carex","Cyperaceae","bind"
"Valeriana oreocharis","Valeriana","Caprifoliaceae","bind"
"Viola capillaris","Viola","Violaceae","bind"
"Adesmia viscida","Adesmia","Fabaceae","bind"
"Jovellana violacea","Jovellana","Calceolariaceae","prune"
"Perezia linearis","Perezia","Asteraceae","prune"
