run_id,family,features,index,substrate,fusion,model,facet,target,n,seeds,R2,R2_sd,nRMSE,RMSE,Bias,nBias,spearman
C2D01_reshape_kndvi_ctxclim-topo-area,C2D,clim+topo+area,kndvi,reshape,late,C2D-B,alpha,hill_q0,1082,5,0.5799174282861407,0.027723716406477614,0.1393633992211723,4.904198018593061,-0.23711479854143325,-0.006738130109162628,0.7461562551790143
C2D01_reshape_nbr,C2D,topo+area,nbr,reshape,late,C2D-B,alpha,hill_q0,1082,3,0.574628883403964,0.03192306444853205,0.14023443152547319,4.9348496453814095,-0.1336774422732713,-0.0037987337957735446,0.7239871222434425
RF08_lsp-curve-topo_nbr,RF,lsp+curve+topo,nbr,,none,RF,alpha,hill_q0,1082,3,0.5743027919170337,0.007023570781686808,0.14035084718058352,4.938946312284743,-0.42976668655458994,-0.012212750399391565,0.710307173897931
MLP01_lsp_ndvi,MLP,lsp,ndvi,tabular,late,MLP-B,alpha,hill_q0,1082,3,0.5741793172144285,0.005582933346562961,0.14037235390690359,4.939703133983945,-0.368336302879331,-0.0104670731139338,0.706939806819431
MLP05c_curve_kndvi,MLP,curve,kndvi,tabular,late,MLP-C,alpha,hill_q0,1082,3,0.5739402607481962,0.027110320528053556,0.14036557116207357,4.939464449193378,-0.12889464459035335,-0.0036628202497969043,0.7357188076676189
MLP03_lsp-curve-qc_kndvi,MLP,lsp+curve+qc,kndvi,tabular,late,MLP-B,alpha,hill_q0,1082,3,0.5729144755904121,0.06419014008148553,0.14030726907195143,4.93741279864198,-0.2978401978235667,-0.008463773737526744,0.723513291416547
C2D02_serpentine_nbr,C2D,topo+area,nbr,serpentine,late,C2D-B,alpha,hill_q0,1082,3,0.5724485058267585,0.007774637435156835,0.1406554717594157,4.949666051213847,-0.14385360528813865,-0.00408791148872232,0.7243247071064238
MLP02_curve_evi,MLP,curve,evi,tabular,late,MLP-B,alpha,hill_q0,1082,3,0.5703488013594105,0.01010514710667616,0.14099780255447278,4.961712671891907,-0.2787375551791998,-0.007920930809298074,0.7309400522188492
C2D07_hilbert_nbr,C2D,topo+area,nbr,hilbert,late,C2D-B,alpha,hill_q0,1082,3,0.5690974690311931,0.03146045262997801,0.1411467012390701,4.966952416602886,-0.1950617678425349,-0.005543102240481231,0.725552731186264
MLP02_curve_ndvi,MLP,curve,ndvi,tabular,late,MLP-B,alpha,hill_q0,1082,3,0.5678316080729408,0.018901356529368793,0.1413942890400299,4.975665031318661,-0.19525791224739386,-0.005548676108195324,0.7346365086587228
MLP02_curve_nbr,MLP,curve,nbr,tabular,late,MLP-B,alpha,hill_q0,1082,3,0.5632726225275122,0.02361227648733812,0.1421264693236403,5.0014304554989115,-0.1791693725181007,-0.005091485436717827,0.7382369584957691
MLP01_lsp_kndvi,MLP,lsp,kndvi,tabular,late,MLP-B,alpha,hill_q0,1082,3,0.5631139617491883,0.03792794684687803,0.142095583646592,5.000343588523582,-0.2612401659475749,-0.007423704630507937,0.7187032462552422
MLP02_curve_savi,MLP,curve,savi,tabular,late,MLP-B,alpha,hill_q0,1082,3,0.5619517902209777,0.0429678960730316,0.14225781576141516,5.006052536644209,-0.3209340535688303,-0.00912003562287098,0.728551729162687
C2D06_cwt_kndvi,C2D,topo+area,kndvi,cwt,late,C2D-B,alpha,hill_q0,1082,3,0.5607537292685713,0.008576777588731755,0.14256555754610986,5.016881970047614,-0.33545261693416767,-0.009532612018589575,0.6776855977407606
MLP01_lsp_savi,MLP,lsp,savi,tabular,late,MLP-B,alpha,hill_q0,1082,3,0.5588937993633007,0.006475877054904906,0.1428690834801877,5.027563047667814,-0.10097796598496588,-0.00286950741645256,0.6863254940998956
MLP07_curve_all,MLP,curve_all,,tabular,late,MLP-A,alpha,hill_q0,1082,5,0.5573936946954752,0.017587675533754444,0.14309156911869453,5.035392317286869,-0.3996125047693038,-0.011355854071307278,0.7671193086506429
C2D07_hilbert_ndvi,C2D,topo+area,ndvi,hilbert,late,C2D-B,alpha,hill_q0,1082,3,0.5535906639892091,0.028659321181384093,0.14367925879408805,5.056073116963968,-0.13127091850228034,-0.0037303472151827273,0.6955483580268459
C2D01_reshape_ndvi,C2D,topo+area,ndvi,reshape,late,C2D-B,alpha,hill_q0,1082,3,0.5479102081589761,0.006974497312758808,0.1446365946127538,5.089761764422815,-0.1498081719029908,-0.004257123384569209,0.6853541475456065
C2D02_serpentine_kndvi_mixup,C2D,topo+area,kndvi,serpentine,late,C2D-B,alpha,hill_q0,1082,3,0.546382331588989,0.011625060371997474,0.14487579272542583,5.098179146007745,-0.2507227032755079,-0.007124828169238633,0.7093873336036761
