run_id,family,substrate,alpha,beta_pa,beta_cover,phylo,dark,mean
C2D02_serpentine_kndvi_wC,C2D,serpentine,0.39857885570032014,0.4514269302323337,0.2818770633658506,0.15365838304631238,0.3651761029810188,0.3301434670651671
C2D02_serpentine_kndvi_v2lin,C2D,serpentine,0.39069416695029635,0.4645857749412337,0.28065461766113026,0.16971732187901833,0.3369912682757927,0.32852862994149423
C2D07_hilbert_ndvi,C2D,hilbert,0.4000777675612327,0.4616568909957289,0.26927027911727447,0.1602294816221673,0.3513879977135262,0.3285244834019859
C2D01_reshape_nbr,C2D,reshape,0.41608283398296525,0.44762752070424267,0.29748824952862585,0.17539655976353305,0.3046614362096677,0.3282513200378069
C2D02_serpentine_kndvi_mixup,C2D,serpentine,0.4150107438516916,0.449752936151005,0.2750783151750888,0.1584764752284445,0.3381122288768023,0.32728613985660643
C2D02_serpentine_kndvi_calendar,C2D,serpentine,0.4023694575753093,0.45012153204561234,0.26183489041178787,0.17198767956410296,0.3481018900839438,0.3268830899361512
C2D07_hilbert_kndvi,C2D,hilbert,0.39962666463530716,0.45283013705481157,0.2723673122353079,0.16581446522909726,0.3423568928614473,0.32659909440319423
C2D02_serpentine_kndvi,C2D,serpentine,0.4046926929083553,0.45854280839942496,0.2742965896514473,0.16244196002895112,0.33133200351246217,0.32626121090012816
C2D01_reshape_kndvi_v2lin,C2D,reshape,0.3911100560558269,0.4528818656528124,0.27289152663084326,0.1670501151515431,0.3425239555665389,0.3252915038115129
C2D07_hilbert_nbr,C2D,hilbert,0.40642596192358016,0.4412385803147927,0.283217488239774,0.1669507754265122,0.3167395394784331,0.32291446907661847
C2D02_serpentine_ndvi,C2D,serpentine,0.3992098189989013,0.4631042242385672,0.26958493244423465,0.15457387225959604,0.32300580678527196,0.3218957309453142
C2D08_cos2d_kndvi_raw36_ctxclim-topo-area,C2D,cos2d,0.43972036034960477,0.4219363320121222,0.25486744309751763,0.14502665824559396,0.34246311131434043,0.3208027810038358
C2D01_reshape_kndvi_v2,C2D,reshape,0.38453432895908457,0.45889774081890217,0.2752147310714639,0.15348055374024738,0.3304454223267838,0.3205145553832963
C2D02_serpentine_nbr,C2D,serpentine,0.4013218039260575,0.44444338456133065,0.2843353831334739,0.16984843835298,0.2966706238376904,0.3193239267623065
C2D01_reshape_ndvi,C2D,reshape,0.3971802239227646,0.4580536123686443,0.2633127558298948,0.15853312411078285,0.3190500654310679,0.3192259563326309
C2D02_serpentine_kndvi_v2,C2D,serpentine,0.3771169603128232,0.4571115252629387,0.2711626832127574,0.1538032392792868,0.3330764683521366,0.3184541752839885
C2D02_serpentine_kndvi_wX,C2D,serpentine,0.3720592630714367,0.4561816980237095,0.28129752184587076,0.12364587965137819,0.3550908011747924,0.31765503275343754
C2D02_serpentine_kndvi_film,C2D,serpentine,0.3972477756847549,0.44251469338985805,0.2642178304650018,0.14820392226263154,0.3332273870530502,0.31708232177105933
C2D07_hilbert_kndvi_v2,C2D,hilbert,0.3743583192348227,0.4570116163451315,0.2637980492829214,0.16534127050732453,0.3244424772097289,0.31699034651598584
C2D09_spectrogram_kndvi,C2D,spectrogram,0.39330085073472637,0.4445258317626256,0.25392273140142485,0.1615448269211175,0.3176340205945121,0.31418565228288126
C1D02_curve5,C1D,curve5,0.3770398411562841,0.4479198736988197,0.2782116615237811,0.1447334858729978,0.3223753855506691,0.31405604956051036
C2D01_reshape_kndvi,C2D,reshape,0.373892827250699,0.4481372618240356,0.26414094696491286,0.1611446952390389,0.3214955953324224,0.31376226532222173
C2D07_hilbert_savi,C2D,hilbert,0.3616405428286992,0.4482206938535423,0.2537047908605687,0.15975075920754453,0.33965954499170675,0.3125952663484123
C2D07_hilbert_kndvi_film,C2D,hilbert,0.38447690299627857,0.42689072979572434,0.2614238632685086,0.16164676641947173,0.3224370751520242,0.31137506752640154
C2D07_hilbert_evi,C2D,hilbert,0.3629276290991762,0.44977485919795207,0.24929350321783472,0.16602068089482666,0.3241050355872388,0.3104243415994057
C2D01_reshape_savi,C2D,reshape,0.36467177820124874,0.44253068596958656,0.25039592420577483,0.1566636862975887,0.3348321992719228,0.30981885478922433
C2D07_hilbert_kndvi_wA,C2D,hilbert,0.37819199684331384,0.44300686138231804,0.25272213485174455,0.16144614352026967,0.30621422550910976,0.3083162724213512
C2D02_serpentine_savi,C2D,serpentine,0.3623400077210275,0.4409585436796639,0.25043047848762534,0.15664214752379832,0.3294403146501927,0.3079622984124616
C1D01_curve1d_nbr,C1D,curve1d,0.3814340050885442,0.4421587367693096,0.25158951662070045,0.14921250858491739,0.30439666925454417,0.30575828726360316
C2D02_serpentine_evi,C2D,serpentine,0.3680755487085799,0.43781558480640365,0.2502887237246635,0.16019781708163977,0.31073542600104614,0.30542262006446663
C2D01_reshape_evi,C2D,reshape,0.35648122063145143,0.43687338475656023,0.24719980964946553,0.15717815432846866,0.31433090438146466,0.30241269474948207
