sample_id,X,Y,lon,lat,year,win_start,win_end,cell,mb_code,mb_class,mb_year_used,mb_delta,n_obs,DI,inside
U006739,287530.20960720367,6507188.001720494,-71.23831449572717,-31.55073415095829,2022,2020,2022,29_651,66,Shrubland,2022,0,187,0.25183608196023827,True
U006740,291021.1887129047,6510723.9572586445,-71.20081296684049,-31.51949312102512,2022,2020,2022,29_651,66,Shrubland,2022,0,202,0.04959105610885401,True
U006741,295040.0135421563,6508414.236709554,-71.15899471520426,-31.541038658910068,2022,2020,2022,29_651,66,Shrubland,2022,0,216,0.19652156525084233,True
U006742,292913.3725468589,6513539.841108523,-71.18030853378015,-31.494446433233872,2022,2020,2022,29_651,66,Shrubland,2022,0,211,0.03071590804799492,True
U006743,291756.9456784304,6505989.094453663,-71.19406808754432,-31.562314877571453,2022,2020,2022,29_651,66,Shrubland,2022,0,213,0.10392982525810247,True
U006744,291723.9045454012,6508915.874681894,-71.19379829237248,-31.535921593662398,2022,2020,2022,29_651,66,Shrubland,2022,0,216,0.03578949141109542,True
U006745,287002.3485955666,6512942.632990185,-71.24263121847672,-31.498755540810865,2022,2020,2022,29_651,66,Shrubland,2022,0,185,0.08549829567398957,True
U006746,293060.8808735617,6508703.6045294255,-71.17976894343646,-31.538076147450887,2022,2020,2022,29_651,12,Grassland,2022,0,216,0.03284508241836555,True
U006747,286937.2715439014,6508609.755510191,-71.2442499895078,-31.537806828227325,2022,2020,2022,29_651,12,Grassland,2022,0,189,0.030327472061269643,True
U006748,289154.7603502064,6516683.211964664,-71.21918670520265,-31.46542645120281,2013,2011,2013,29_652,66,Shrubland,2013,0,117,0.14085809325470872,True
U006749,285668.50791930524,6515506.719964528,-71.25611069661838,-31.47539214090092,2013,2011,2013,29_652,66,Shrubland,2013,0,118,0.10478252971687048,True
U006750,290411.4767430878,6521727.427451383,-71.20490224137028,-31.4201768331141,2013,2011,2013,29_652,66,Shrubland,2013,0,125,0.05665545781253765,True
U006751,286742.2194790062,6518127.88709495,-71.24425189645565,-31.45195930296212,2013,2011,2013,29_652,66,Shrubland,2013,0,120,0.19004670769328455,True
U006752,294222.2696666311,6523476.123297695,-71.16447451354283,-31.40509362708453,2013,2011,2013,29_652,66,Shrubland,2013,0,102,0.05559021244895227,True
U006753,291273.3543821838,6518368.927872796,-71.19654717761928,-31.450612588138053,2013,2011,2013,29_652,66,Shrubland,2013,0,118,0.11588607066869802,True
