run_id,family,features,index,substrate,fusion,model,facet,n_targets,R2,R2_min,R2_max,nRMSE,nBias,nBias_abs,spearman
RF04_lsp-curve-topo-area_kndvi,RF,lsp+curve+topo+area,kndvi,,none,RF,beta_cover,3,0.32477210387407945,0.2899496119623572,0.3576247848081466,0.21544874287458046,0.007286359189008672,0.017663516208679356,0.5776217253566999
RF03_curve-topo-area_ndvi,RF,curve+topo+area,ndvi,,none,RF,beta_cover,3,0.3245456560420994,0.28849241802560005,0.3628781650136519,0.21543360550532512,0.006679580388807771,0.018172321893308904,0.5747212899114386
RF04_lsp-curve-topo-area_ndvi,RF,lsp+curve+topo+area,ndvi,,none,RF,beta_cover,3,0.32406174241802205,0.2907143728041166,0.3570640164819318,0.21555415318939944,0.0068448786060362485,0.017761541776860724,0.5755072050528708
RF03_curve-topo-area_evi,RF,curve+topo+area,evi,,none,RF,beta_cover,3,0.3233450717753573,0.2893606260913603,0.38882526189233574,0.21528142281341622,0.007494308311996364,0.01830217766704931,0.5725732469113309
RF08_lsp-curve-topo_nbr,RF,lsp+curve+topo,nbr,,none,RF,beta_cover,3,0.32087086290776146,0.2844149776987282,0.39096174987810367,0.21562968179281272,0.006324843796221887,0.014772200760282905,0.5852912338052632
RF03_curve-topo-area_savi,RF,curve+topo+area,savi,,none,RF,beta_cover,3,0.3198149449363748,0.27960179941289703,0.38623251383846213,0.21580227287779055,0.008061620503398897,0.01849924489471357,0.5681734226649158
RF01_lsp-topo-area_kndvi,RF,lsp+topo+area,kndvi,,none,RF,beta_cover,3,0.3197627096087644,0.2768328955939658,0.36237007866877974,0.21617630933970008,0.00790211249868921,0.018006682498617053,0.5758771506840968
RF08_lsp-curve-topo_savi,RF,lsp+curve+topo,savi,,none,RF,beta_cover,3,0.31833336731070344,0.2795442091516145,0.38263598467600873,0.21613402990453465,0.007797094670717608,0.02016763172780614,0.5696207068690788
RF02_lsp-qc-topo-area_nbr,RF,lsp+qc+topo+area,nbr,,none,RF,beta_cover,3,0.3179850433941973,0.2600999347625698,0.3835511311295589,0.21598744407795514,0.0068349696782085455,0.01650162916354503,0.5835215009948772
RF01_lsp-topo-area_ndvi,RF,lsp+topo+area,ndvi,,none,RF,beta_cover,3,0.31768017122682596,0.2778672093267449,0.35637866583504896,0.2165363609789955,0.007630756077345909,0.018751674713320014,0.5745917532878887
RF02_lsp-qc-topo-area_evi,RF,lsp+qc+topo+area,evi,,none,RF,beta_cover,3,0.3154246767018596,0.2731736299326873,0.36757814057643134,0.21658621498841515,0.006337782763983379,0.018580210194180276,0.573452532957118
MLP03_lsp-curve-qc_kndvi,MLP,lsp+curve+qc,kndvi,tabular,late,MLP-B,beta_cover,3,0.31466555712371796,0.24335501872057883,0.37305218343856733,0.21642257477055502,0.004205868302549401,0.01626877580430554,0.5691435341372493
