site_id,X,Y,lon,lat,year,win_start,win_end,cell,n_obs_center,n_obs_mean5x5,max_doy_gap,mean_doy_gap,frac_valid_px,n_obs_per_year,n_years_with_obs,patch_y,patch_x,sensors,error
LT0244,259543.79801922123,4876397.249875073,-72.1180124851314,-46.2234633835606,2015,2013.0,2015.0,52_975,71.0,81.0,41.0,4.4625,0.3564179104477612,"{""2013"": 22, ""2014"": 32, ""2015"": 27}",3.0,5.0,5.0,"landsat7,landsat8",
LT0260,258572.09084938496,4889363.276578079,-72.123984462307,-46.1065979523653,2014,2012.0,2014.0,52_978,69.0,72.0,41.0,5.126760563380282,0.3939024390243902,"{""2012"": 15, ""2013"": 25, ""2014"": 32}",3.0,5.0,5.0,"landsat7,landsat8",
LT0261,260382.00760053852,4889488.145713905,-72.1005367528128,-46.1061130940994,2015,2013.0,2015.0,52_978,75.0,84.0,40.0,4.373493975903615,0.3741293532338308,"{""2013"": 27, ""2014"": 28, ""2015"": 29}",3.0,5.0,5.0,"landsat7,landsat8",
LT0302,260752.8594531344,4926547.924394642,-72.077246704028,-45.7731733917542,2012,2010.0,2012.0,52_985,32.0,42.0,68.0,8.804878048780488,0.2837931034482758,"{""2010"": 12, ""2011"": 13, ""2012"": 17}",3.0,5.0,5.0,"landsat5,landsat7",
LT0343,261581.2308112811,4955786.595177812,-72.0522899982435,-45.5106607462622,2017,2015.0,2017.0,52_991,72.0,85.0,37.0,4.333333333333333,0.3019409282700422,"{""2015"": 25, ""2016"": 32, ""2017"": 28}",3.0,5.0,5.0,"landsat7,landsat8",
LT0362,258391.66622035505,4971697.032523621,-72.0852532042904,-45.3665578029067,2015,2013.0,2015.0,52_994,60.0,78.0,23.0,4.597402597402597,0.2759447004608295,"{""2013"": 17, ""2014"": 28, ""2015"": 33}",3.0,5.0,5.0,"landsat7,landsat8",
LT0398,259246.45783226375,4996713.469032426,-72.0622331915883,-45.1419892641426,2015,2013.0,2015.0,52_999,57.0,64.0,34.0,5.396825396825397,0.2437333333333333,"{""2013"": 19, ""2014"": 26, ""2015"": 19}",3.0,5.0,5.0,"landsat7,landsat8",
LT0415,264031.99999999994,5017137.000000002,-71.9918523517889,-44.9600067314008,2019,2017.0,2019.0,53_1003,28.0,37.0,112.0,9.11111111111111,0.1144769874476987,"{""2017"": 14, ""2018"": 11, ""2019"": 12}",3.0,5.0,5.0,"landsat7,landsat8",
LT0436,264258.00000000454,5041213.999999997,-71.9778059755205,-44.7436309447572,2013,2011.0,2013.0,53_1008,31.0,35.0,32.0,10.617647058823527,0.1948993288590604,"{""2011"": 11, ""2012"": 12, ""2013"": 12}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT0433,263258.0000000035,5040132.0,-71.9909225134313,-44.7530282709089,2014,2012.0,2014.0,53_1008,38.0,44.0,29.0,7.813953488372093,0.2041530054644808,"{""2012"": 9, ""2013"": 10, ""2014"": 25}",3.0,5.0,5.0,"landsat7,landsat8",
LT0449,262746.99999999814,5048124.999999999,-71.993658846785,-44.6810015994537,2014,2012.0,2014.0,53_1010,52.0,58.0,23.0,6.035087719298246,0.2837158469945355,"{""2012"": 11, ""2013"": 21, ""2014"": 26}",3.0,5.0,5.0,"landsat7,landsat8",
LT0463,266290.00000000274,5054401.000000006,-71.9461520684583,-44.6257395291621,2013,2011.0,2013.0,53_1011,40.0,46.0,53.0,8.022222222222222,0.2767785234899328,"{""2011"": 13, ""2012"": 12, ""2013"": 21}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT0464,267286.9999999972,5054474.0,-71.9335672411341,-44.6254065832299,2013,2011.0,2013.0,53_1011,48.0,55.0,26.0,6.685185185185185,0.3057718120805369,"{""2011"": 16, ""2012"": 16, ""2013"": 23}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT0470,265211.9999999971,5055319.999999995,-71.9593032136442,-44.6171260631532,2013,2011.0,2013.0,53_1011,34.0,45.0,39.0,8.272727272727273,0.2335570469798657,"{""2011"": 13, ""2012"": 16, ""2013"": 16}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT0524,265594.0000000001,5118528.999999995,-71.9260737694513,-44.0489315771999,2015,2013.0,2015.0,53_1024,57.0,70.0,19.0,5.072463768115942,0.2418723404255319,"{""2013"": 16, ""2014"": 21, ""2015"": 33}",3.0,5.0,5.0,"landsat7,landsat8",
LT0657,264977.99999999546,5337006.999999999,-71.8414389578117,-42.0838449900658,2019,2017.0,2019.0,53_1067,37.0,38.0,51.0,9.37837837837838,0.2886821705426357,"{""2017"": 14, ""2018"": 13, ""2019"": 11}",3.0,5.0,5.0,"landsat7,landsat8",
