# logs_pheno.log -> 02_extract_phenology.py (5 indices - FINAL)
#
# Log condensado para versionarlo. Original: 9862 lineas, 0.8 MB.
# Solo se colapsaron los bloques de advertencia (linea de Warning + su eco de codigo),
# contabilizados al final. Ninguna linea de salida del script fue eliminada.

plots: 1082 | loads (cell x year): 294
dask: 4 workers
[220/294] 65_1265 2020: 1/1 plots, 127 obs, 44s
[221/294] 65_1269 2014: 1/1 plots, 101 obs, 38s
[222/294] 65_1270 2014: 1/1 plots, 101 obs, 36s
[223/294] 66_1253 2020: 6/6 plots, 127 obs, 52s
[224/294] 66_1254 2021: 1/1 plots, 132 obs, 49s
[225/294] 66_1257 2021: 1/1 plots, 132 obs, 48s
[226/294] 66_1265 2020: 6/6 plots, 127 obs, 50s
[227/294] 66_1265 2021: 1/1 plots, 132 obs, 50s
[228/294] 66_1290 2025: 26/26 plots, 135 obs, 86s
[229/294] 67_1225 2013: 1/1 plots, 90 obs, 39s
[230/294] 67_1249 2017: 2/2 plots, 129 obs, 99s
[231/294] 67_1250 2017: 1/1 plots, 129 obs, 84s
[232/294] 67_1256 2021: 2/2 plots, 132 obs, 49s
[233/294] 67_1257 2021: 2/2 plots, 132 obs, 46s
[234/294] 67_1275 2022: 8/8 plots, 140 obs, 56s
[235/294] 67_1277 2022: 4/4 plots, 140 obs, 53s
[236/294] 68_1231 2019: 1/1 plots, 124 obs, 50s
[237/294] 68_1248 2017: 1/1 plots, 129 obs, 88s
[238/294] 68_1249 2017: 1/1 plots, 129 obs, 82s
[239/294] 68_1254 2021: 6/6 plots, 132 obs, 54s
[240/294] 68_1256 2021: 9/9 plots, 132 obs, 53s
[241/294] 68_1257 2021: 3/3 plots, 132 obs, 48s
[242/294] 68_1261 2021: 1/1 plots, 132 obs, 47s
[243/294] 68_1265 2020: 7/7 plots, 127 obs, 50s
[244/294] 68_1270 2021: 1/1 plots, 132 obs, 45s
[245/294] 68_1287 2025: 26/26 plots, 135 obs, 78s
[246/294] 69_1228 2019: 1/1 plots, 236 obs, 99s
[247/294] 69_1255 2021: 6/6 plots, 132 obs, 51s
[248/294] 69_1256 2021: 10/10 plots, 132 obs, 53s
[249/294] 69_1267 2021: 1/1 plots, 132 obs, 45s
[250/294] 70_1252 2017: 3/3 plots, 125 obs, 53s
[251/294] 70_1261 2020: 7/7 plots, 127 obs, 52s
[252/294] 70_1277 2022: 4/4 plots, 140 obs, 55s
[253/294] 71_1251 2014: 1/1 plots, 102 obs, 53s
[254/294] 71_1253 2019: 1/1 plots, 126 obs, 47s
[255/294] 71_1258 2020: 1/1 plots, 127 obs, 43s
[256/294] 71_1262 2017: 1/1 plots, 125 obs, 46s
[257/294] 71_1262 2021: 2/2 plots, 132 obs, 49s
[258/294] 71_1263 2021: 1/1 plots, 132 obs, 45s
[259/294] 71_1277 2022: 4/4 plots, 140 obs, 51s
[260/294] 72_1242 2006: 1/1 plots, 220 obs, 96s
[261/294] 72_1252 2010: 1/1 plots, 95 obs, 39s
[262/294] 72_1253 2010: 19/19 plots, 95 obs, 47s
[263/294] 72_1253 2014: 4/4 plots, 102 obs, 45s
[264/294] 72_1253 2020: 2/2 plots, 127 obs, 49s
[265/294] 72_1254 2006: 1/1 plots, 116 obs, 54s
[266/294] 72_1254 2010: 1/1 plots, 95 obs, 35s
[267/294] 72_1254 2017: 1/1 plots, 125 obs, 50s
[268/294] 72_1254 2019: 1/1 plots, 126 obs, 47s
[269/294] 72_1255 2010: 17/17 plots, 95 obs, 46s
[270/294] 72_1255 2014: 4/4 plots, 102 obs, 43s
[271/294] 72_1258 2020: 10/10 plots, 127 obs, 56s
[272/294] 72_1259 2020: 7/7 plots, 127 obs, 50s
[273/294] 72_1259 2021: 1/1 plots, 132 obs, 49s
[274/294] 72_1260 2019: 1/1 plots, 126 obs, 47s
[275/294] 72_1260 2020: 6/6 plots, 127 obs, 51s
[276/294] 72_1260 2021: 1/1 plots, 132 obs, 46s
[277/294] 72_1261 2010: 18/18 plots, 95 obs, 52s
[278/294] 72_1261 2017: 2/2 plots, 125 obs, 52s
[279/294] 72_1261 2020: 4/4 plots, 127 obs, 51s
[280/294] 73_1241 2006: 1/1 plots, 232 obs, 100s
[281/294] 73_1253 2013: 1/1 plots, 87 obs, 37s
[282/294] 73_1253 2020: 4/4 plots, 127 obs, 50s
[283/294] 73_1256 2017: 1/1 plots, 125 obs, 49s
[284/294] 73_1257 2017: 1/1 plots, 125 obs, 44s
[285/294] 73_1261 2020: 2/2 plots, 127 obs, 45s
[286/294] 73_1262 2017: 1/1 plots, 125 obs, 45s
[287/294] 74_1261 2022: 27/27 plots, 140 obs, 74s
[288/294] 75_1260 2022: 25/25 plots, 140 obs, 74s
[289/294] 75_1260 2024: 5/5 plots, 132 obs, 60s
[290/294] 75_1261 2022: 50/50 plots, 140 obs, 90s
[291/294] 75_1261 2024: 22/22 plots, 132 obs, 68s
[292/294] 76_1257 2021: 1/1 plots, 181 obs, 69s
[293/294] 80_1271 2022: 4/4 plots, 234 obs, 89s
[294/294] 81_1236 2019: 1/1 plots, 188 obs, 78s

output in data/derived/phenology/

==============================================================
ADVERTENCIAS COLAPSADAS (clase @ origen: conteo)
==============================================================
   1771  RuntimeWarning @ fromnumeric.py: Mean of empty slice.
   1771  RuntimeWarning @ _methods.py: invalid value encountered in scalar divide
   1236  RuntimeWarning @ utils.py: invalid value encountered in divide
      4  NotGeoreferencedWarning @ warp.py: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
